Name, Theo_Area, Wet_Area, Theo_Vol, Wet_Vol
Main Wing,38.413404,26.611642,2.591722,2.171543
Main Wing,38.413404,26.611642,2.591722,2.171543
LEX,36.335855,14.283812,3.059674,1.454706
LEX,36.335855,14.283812,3.059674,1.454706
H Stabs,25.763439,17.796180,1.835534,1.533475
V Stab,14.339617,8.571191,1.053241,0.761417
Wingtip Hardpoints,1.870260,1.697615,0.119487,0.119487
Wingtip Hardpoints,1.870260,1.697615,0.119487,0.119487
Fuselage,53.703084,26.778217,14.697849,8.863953
Cockpit,21.159340,10.077083,3.847845,2.216366
Intakes,39.806518,24.394272,10.008154,7.417864
Engines,34.984565,12.713106,8.330294,3.661228
Canopy Glass,12.686273,4.437768,2.304988,0.975193
Totals,355.681875,189.953955,53.619670,32.920968

Tag_Name, Tag_Theo_Area, Tag_Wet_Area
Main Wing_S_Surf0,38.413404,26.611642
Main Wing_S_Surf1,38.413404,26.611642
LEX_S_Surf0,36.335855,14.283812
LEX_S_Surf1,36.335855,14.283812
H Stabs_S_Surf0,12.881719,8.898090
H Stabs_S_Surf1,12.881719,8.898090
V Stab_S_Surf0,14.339617,8.571191
Wingtip Hardpoints_S_Surf0,1.870260,1.697615
Wingtip Hardpoints_S_Surf1,1.870260,1.697615
Fuselage_S_Surf0,53.703084,26.778217
Cockpit_S_Surf0,21.159340,10.077083
Intakes_S_Surf0,39.806518,24.394272
Engines_S_Surf0,34.984565,12.713106
Canopy Glass_S_Surf0,12.686273,4.437768
